"id","region","year","conversion_factor_sec_methane","conversion_factor_sec_lng_orig","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to be similar to 2022, literature value assumed, converted from $/mmbtu to €/MWh using the conversion from $2022 to €2021.""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
22,"DE",2024,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
23,"DE",2027,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
24,"DE",2030,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
25,"DE",2035,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
26,"DE",2040,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
27,"DE",2045,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
28,"DE",2050,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
29,"DE",2060,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
30,"DE",2070,"[1.0]","[1.0]","[7.129]","{""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_lng_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""cost assumed to remain constant""}","{""conversion_factor_sec_methane"": """", ""conversion_factor_sec_lng_orig"": """", ""cost_var_e"": ""5molnarEconomicsGasTransportation2022""}",""
