"id","region","year","conversion_factor_sec_methanol_orig","cost_var_e","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""value from literature, price of 200-400 $/t which corresponds to the price range the cost range of fossil methanol is indicated as 100-220 $/t, conversion with LHV of 5.5 kWh/kg (=19.9 MJ/kg), exchange rate used in the literature source 0.9 $/€ and based on the year 2020, conversion to €/MWh with monetary conversion from $2020 to €2021.""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
22,"DE",2024,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
23,"DE",2027,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
24,"DE",2030,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
25,"DE",2035,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
26,"DE",2040,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
27,"DE",2045,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
28,"DE",2050,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
29,"DE",2060,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
30,"DE",2070,"[1.0]","[50.61]","{""conversion_factor_sec_methanol_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""literature source assumed costs to remain constant""}","{""conversion_factor_sec_methanol_orig"": """", ""cost_var_e"": ""5irenaInnovationOutlookRenewablea""}",""
